Phenotype,Age_Slope,Age_SE,Age_FTestStat,Age_FTestNumDF,Age_FTestDenDF,Age_FTestScaling,Age_FTestPValue
NumRBC,-0.03274878562839355,0.005820038523308805,31.494137842748678,1,24.589437086112824,1,8.182539943016739e-6
NumRetic,0.010207749449538018,0.0022670833220759354,20.127684389373094,1,26.769586923332135,1,1.2308119568380752e-4
PercRetic,0.015120889064583098,0.0025915401161384316,33.79183918193856,1,26.293380602835,1,3.8280369538254405e-6
Hct,-0.16838200559253735,0.02144493421792443,61.31839297460911,1,25.27075681574847,1,3.213299381772762e-8
Hgb,-0.0819825437265605,0.008869241660678042,84.85828485243687,1,26.384906652117643,1,9.933341728191917e-10
MCV,-2.9551260162479604e-4,3.7429087467848524e-4,0.6213254233208569,1,24.514294821712355,1,0.4381115606433288
CHCM,0.029275046349464307,0.017841924198214267,2.6719411218632048,1,30.41630779097399,1,0.1124406108416462
CH,0.008875810640059914,0.008883875546604665,0.9920766928360992,1,28.31248914166345,0.9999999999999999,0.32767237118633374
CHm,0.01865541243364471,0.013632786664123186,1.7871769700415945,1,26.934001445954568,1,0.19245342480308616
CHr,0.02703978923411438,0.011789337469701481,5.222941324574523,1,29.503467535394638,0.9999999999999999,0.02965536371737149
RDWcv,0.005022384874973883,4.5873267921841534e-4,117.95423408677743,1,21.545352083690027,1,3.3445733045572895e-10
HDWcv,0.009966029990805885,0.0013839851054197984,51.73896053395352,1,29.26210290011245,0.9999999999999999,6.098589249615067e-8
NumWBC,-0.0021821005508028844,0.004544488324328442,0.22886678849692602,1,28.689417051455177,0.9999999999999999,0.6359910154776802
NumLymph,-0.012536578147356384,0.004341433776292558,8.289608114730656,1,27.343155983353125,0.9999999999999999,0.0076561204020610925
NumNeut,0.02642702170674575,0.004068967712123307,41.85085124125297,1,27.98315245890704,1,5.242366866094994e-7
NumMono,0.013612816230576892,0.006215892426192786,4.757098522360868,1,29.61781816983185,1,0.03725557179640814
NumEos,-0.004991540423354585,0.003976989035147444,1.5636680848359854,1,26.631161696612793,1,0.22200503751506742
NLR,0.0380666360522629,0.0027599404185947285,188.16776044796796,1,23.92261923190412,1,7.870462475816778e-13
PercLymph,-0.033480194746034746,0.0023459269749662097,200.52120673457463,1,22.12950554531058,1,1.4164939539260405e-12
PercNeut,0.037217188738473767,0.0028915531010264843,164.11122115084476,1,24.383456541649153,1,2.528522002883695e-12
PercMono,0.01658097491804621,0.0029633628922460867,31.18174988936528,1,24.958360677883043,0.9999999999999999,8.340128022383677e-6
PercEos,-0.005090966704859623,0.006189928821583314,0.6711067467735786,1,29.442234998219632,1,0.41924815580358044
NumPlt,0.008225624099415216,0.001701518332055493,23.204620095226737,1,23.525727678155498,1,6.945054766421695e-5
MPV,-3.2156580819878074e-4,0.0026947427923315385,0.014113809591585704,1,32.26127967126786,0.9999999999999999,0.9061692513721737
MPM,0.0027724262165110215,5.423586410941795e-4,25.933271316492483,1,27.23397912225742,1,2.320775687749646e-5
PDWcv,-1.595665805169544e-4,0.0021197915671798883,0.005617175950565711,1,31.824973185116825,1,0.940725366930706
