Phenotype,AL_Slope,AL_SE,1D_Slope,1D_SE,2D_Slope,2D_SE,20_Slope,20_SE,40_Slope,40_SE,DietAge_FTestStat,DietAge_FTestNumDF,DietAge_FTestDenDF,DietAge_FTestScaling,DietAge_FTestPValue,DietAge_PairwiseDifferences
NumRBC,-0.01614989864748735,0.010600870719436706,-0.03673839590869333,0.01025392250674769,-0.052863876248058404,0.01012493820558497,-0.03509783037936801,0.01002618015146291,-0.02097849021113949,0.00920171267188245,2.3989614577522227,4,483.69999441159666,0.9980058413567789,0.04930744582727541,
NumRetic,0.006636913004080571,0.004041884724311175,0.013722215108754285,0.003925122219771574,0.009435978990040906,0.0038783597780906232,0.015573177866117595,0.003849606239019312,0.00578948741605523,0.0035313512298303412,1.8604312077456666,4,538.4429452809652,0.9983875573650767,0.11599646420077492,NA
PercRetic,0.00947979689711587,0.0048855529752119655,0.019029385762702248,0.004735344187891583,0.01778232572659421,0.004672235688248331,0.0207897175115526,0.004634265480653105,0.008643180717344559,0.004291150400012815,1.934278943626877,4,499.7578851398311,0.9980819733864333,0.1034871446866345,NA
Hct,-0.1402579026176569,0.039989558617935524,-0.18140524171815212,0.038770987381809334,-0.24206357165519768,0.038298916218957924,-0.15716579136509953,0.037933761155785665,-0.12268548940979486,0.03484563210268359,1.776463704237628,4,516.7172692261977,0.9982462622580849,0.13217992572110843,NA
Hgb,-0.06941588314376335,0.015935632344243562,-0.08037898931057158,0.015455646277661168,-0.10645760923897273,0.015261744438075507,-0.08442189860834284,0.015112655915800646,-0.06922291634873019,0.01393850472322726,1.2578714935952575,4,517.4741590047178,0.9982316612221037,0.2855738165529996,NA
MCV,-0.0012372569240530955,7.128512205519571e-4,-6.250119394520258e-4,6.956235648679306e-4,-1.2341771088333293e-4,6.900664225163091e-4,5.547865390559742e-4,6.854967976115702e-4,-4.517520062217098e-4,6.211132051985468e-4,1.9699434814500951,4,625.5856078169556,0.9990791074915087,0.0974994607473498,NA
CHCM,0.0034644708125637276,0.021180304524309756,0.056808133995095295,0.021007667504784732,0.045924492166076095,0.020961031845923978,0.012403891990278743,0.020916360693235696,0.03216393870473706,0.020003423122371217,2.8313400849647343,4,762.2001576174264,0.9999172529681818,0.023824947239546715,AL-1D:1D-20
CH,-0.008662047392229576,0.011625015198345452,0.012782231857660097,0.011451368131237271,0.014973768777396831,0.011401372436683283,0.016769844569771472,0.011358521159243606,0.008895574826885475,0.010528174265665744,2.6090101187475723,4,724.719966766125,0.9997059929390181,0.0345502773236482,AL-20
CHm,0.006249117298320999,0.015823849737207983,0.017808221036590424,0.015662169322175148,0.023538646861900804,0.01563860105212134,0.026857723225532946,0.015592661764154208,0.017808452119030326,0.014771629897903862,1.2220003764406562,4,601.6533195750682,0.9997899030653018,0.30022358852745534,NA
CHr,0.004792116118970214,0.014956546703962332,0.02144963641612526,0.014750447646630591,0.03911931992469812,0.014690348804288905,0.03251150505353442,0.014648620538392087,0.037134576012824216,0.013632780870025911,3.3336127123567563,4,754.0289727908313,0.9997594392898136,0.010181021295138898,AL-40
