Phenotype,Timepoint,AL_Mean,AL_SE,1D_Mean,1D_SE,2D_Mean,2D_SE,20_Mean,20_SE,40_Mean,40_SE,Diet_FTestStat,Diet_FTestNumDF,Diet_FTestDenDF,Diet_FTestScaling,Diet_FTestPValue,Diet_PairwiseDifferences
NumRBC,11 months,10.237300391392012,0.0792886827048644,10.478698294258614,0.08090276967721415,10.439179526557423,0.07974335598134552,10.921543302439648,0.07909259800535332,11.030574223092724,0.0769165719085352,24.478047765684778,4,510.95532574231794,0.9979597397845198,1.4861890956853748e-18,AL-20:AL-40:1D-20:1D-40:2D-20:2D-40
NumRBC,23 months,10.134332141334502,0.1457066681785062,10.077049745150191,0.13809881227047166,9.815158215295357,0.13646575790787546,10.52154052570225,0.13477354473977207,10.824847127921785,0.12263775340832717,10.54956358703404,4,326.6901430459714,0.9962398862168327,4.7449361305494744e-8,AL-40:1D-40:2D-20:2D-40
NumRetic,11 months,-1.1720590605720893,0.03122642492100619,-1.128408849508473,0.0318630217735067,-1.0072345522950028,0.03140577781033617,-1.2166105836449368,0.03114918540018851,-1.1713394440968745,0.030295969406944685,7.002348127616815,4,510.2600060260789,0.9979538678716144,1.7120124881760324e-5,AL-2D:1D-2D:2D-20:2D-40
NumRetic,23 months,-1.0953561249924761,0.0455439212059353,-0.971589911714851,0.043206300071386705,-0.9015970441218891,0.04270615693193115,-1.0282941519683528,0.04231086480255053,-1.112948123000012,0.03829935455170021,4.559291726808128,4,331.6120321253793,0.9963394724574857,0.0013462730213157196,AL-2D:2D-40
PercRetic,11 months,-3.4922945598129878,0.034851798417001915,-3.474425569431008,0.035627292222981104,-3.338980341965932,0.03507245167512373,-3.6062253886992335,0.03476468630270225,-3.5653071116693265,0.03410434333922371,9.31556088730755,4,469.616796775353,0.997583377928247,2.986226101840786e-7,AL-2D:1D-2D:2D-20:2D-40
PercRetic,23 months,-3.388105231284219,0.05858537200292349,-3.2555403312407067,0.05538702272412171,-3.133316244833079,0.054687254527105926,-3.356745661413439,0.054153531395845306,-3.4758536784011462,0.04947251619943934,6.2967370157571265,4,306.6555490691454,0.9958160650973582,7.005017340082927e-5,AL-2D:1D-40:2D-20:2D-40
Hct,11 months,45.30441893392387,0.3049341552799833,45.88454277073131,0.3103484300242307,45.83366302587307,0.3064358033039551,47.322495012429215,0.3041984682064686,47.565008545955884,0.2930252528611884,16.145862422864298,4,578.4280528791007,0.9984683673734194,1.5234469034328142e-12,AL-20:AL-40:1D-20:1D-40:2D-20:2D-40
Hct,23 months,43.887803938438886,0.4958663383627871,43.82745609257101,0.4688411959756136,43.007186568632875,0.46294572063325107,45.52939242784796,0.45700016433468293,46.187473733861154,0.4186369530191444,9.52060922309225,4,309.2869145152399,0.9958735246485331,2.854250930263584e-7,AL-40:1D-40:2D-20:2D-40
Hgb,11 months,15.131446065299224,0.12003128143656636,15.428283635573028,0.12227992493863901,15.227766308459827,0.1206587318181735,16.05754342892193,0.11973839336449375,15.91010128771487,0.11571229358671184,16.721418690359066,4,551.7720140570808,0.9982808298457321,6.02493806194519e-13,AL-20:AL-40:1D-20:1D-40:2D-20:2D-40
Hgb,23 months,14.397812496515833,0.18511931645042493,14.465262199216976,0.17435978429720994,13.944809750950938,0.17197227926489317,15.09969771696292,0.1696447025267332,15.125444584646717,0.1572473212740912,9.246121297526123,4,286.5589738872105,0.995338431011932,4.858629556924833e-7,AL-20:AL-40:1D-40:2D-20:2D-40
