Phenotype,AL_Slope,AL_SE,1D_Slope,1D_SE,2D_Slope,2D_SE,20_Slope,20_SE,40_Slope,40_SE,DietAge_FTestStat,DietAge_FTestNumDF,DietAge_FTestDenDF,DietAge_FTestScaling,DietAge_FTestPValue,DietAge_PairwiseDifferences
BPM,-0.4062753348208804,0.5839173178250708,-0.7635927003566012,0.5665572949707318,-2.0182541832011243,0.5637027885725946,-0.22556856375367212,0.5632986882105786,0.8862156134654231,0.5304997001673617,5.575259523447409,4,775.9363543303463,0.9997321403800525,1.9906320558644907e-4,2D-40
CardiacOutput,40.33384889048568,58.77669276939797,77.61287108954365,57.18530051017212,-83.53988276890466,56.858021697909905,99.51663270571167,56.66290626387554,41.13476390895752,53.5139646527291,2.228390694593285,4,745.3270689661741,0.9996714599351127,0.06436520929052512,NA
StrokeVolume,0.12487949510811068,0.10732586453987908,0.20997663675323158,0.10428716239528767,-0.007038419959931168,0.10391577881182908,0.2220716162388838,0.10340278302296063,0.023874091177778924,0.09769137382333266,1.5038018429420281,4,718.7046217923014,0.9996348024877043,0.19926048117149853,NA
EF,0.16907967707061958,0.14753417268563765,0.16331513020461663,0.1435302038151809,-0.21144409454632643,0.14297252623549292,0.38187301842213844,0.14233605296786295,-0.18571291389885544,0.13455541010023117,4.53126652358189,4,754.9253509991993,0.9996741323941942,0.001270969387988851,2D-20:20-40
FS,0.09997060344969202,0.0999287529336916,0.11499314495603025,0.09719826183213216,-0.15653262193034054,0.09682617808619093,0.26234693178533014,0.09638032084158321,-0.11839271051706822,0.09110757597166275,4.620092017057339,4,746.6491019866036,0.9996649190767062,0.0010880150080411755,2D-20:20-40
LVMass,0.2553342772564019,0.35364718503724707,0.5422060850020978,0.3438218886842279,0.367898340127948,0.34239987553795864,-0.3484160957881483,0.3418947632414868,-0.5734463711437257,0.3227978534174137,2.9820034568787306,4,819.8783973737858,0.9997568346030826,0.018450917242050432,1D-40
LVMassCorrected,0.20426561991996706,0.2829174485488752,0.43377057950055925,0.27505720286108687,0.294329115367638,0.27391959832694784,-0.2787432096009724,0.2735155154999494,-0.4587530260283751,0.2582379894100747,2.9820511218708217,4,819.877983801094,0.9997568345702058,0.018449432312367745,1D-40
LVVol_dia,-0.02676260195264625,0.1510265139133233,0.20987727076719723,0.14642092715262997,0.21264452226637065,0.14560445743329303,-0.05807108617963681,0.14456118226299086,0.2585058459437835,0.13759578867828734,1.111388397831119,4,504.0120799409475,0.999290651202697,0.35034516539149485,NA
LVVol_sys,-0.16501551943088574,0.14408857631250982,0.0049764998504448444,0.13989909634126144,0.2613083410973706,0.1393765753544033,-0.3078823059499327,0.13853788658203114,0.23554291541082809,0.13108066686904107,3.819467820695148,4,648.803484698332,0.9995425213550408,0.004450866395738813,2D-20:20-40
LVID_dia,-6.427234809809277e-4,0.0036652630201206,0.0048221350061722025,0.0035526095325299077,0.004765192476719033,0.0035337835317093033,-0.0016704033499313552,0.0035087232861179124,0.006649571188723869,0.0033366570865019938,1.1947039035178584,4,511.31909025158774,0.9993072007156392,0.31217076303893687,NA
LVID_sys,-0.005150697170908826,0.005426818456671777,-5.459323842611192e-4,0.005267077049557691,0.01007116597661111,0.005247719801465011,-0.01186855982708607,0.005215992739901185,0.008930523788218653,0.0049341918067006395,3.8860507657181507,4,641.3117961350227,0.9995330579865344,0.003969881118312444,2D-20:20-40
LVPW_dia,0.0019085146338152618,0.0016201713753355661,0.0014264179780735544,0.0015801256567574893,2.253861246764296e-4,0.0015728915924383597,8.66546069805617e-4,0.0015642380300233427,-0.0026954196948563475,0.0014836445859388945,1.9588833041087546,4,749.6701936386572,0.9996568644092867,0.09897835241466864,NA
LVPW_sys,0.0044267745613122255,0.002424229358353115,0.004315844687363884,0.002361938290622482,-5.286360084122655e-4,0.002351792015678169,0.0035534778047676446,0.002339801341285402,-0.00360362053201975,0.00221616059813599,3.3860068042554468,4,752.298350920662,0.9996639002661598,0.009308979750251734,AL-40:1D-40
IVS_dia,5.846117542119158e-4,0.0021336880502213565,8.183056354268554e-4,0.0020798522558323116,-7.521711701926547e-4,0.002064712639021088,-0.0026286979718581106,0.0020748567729392256,-0.006556735919383601,0.0019693560434777225,4.421047363593231,4,932.2170925302555,0.9998672121104218,0.001519352098063067,AL-40:1D-40:2D-40
IVS_sys,0.0018175820951420202,0.0030600200386025588,0.0034744918209852612,0.0029854850136745133,-0.001658731792512522,0.0029608252347316896,0.0014268398824433901,0.0029796519447993336,-0.009043194556288789,0.002833429911108739,6.328043310023458,4,953.577537361081,0.999884674127769,5.0119625389162175e-5,AL-40:1D-40:20-40
