Phenotype,Timepoint,AL_Mean,AL_SE,1D_Mean,1D_SE,2D_Mean,2D_SE,20_Mean,20_SE,40_Mean,40_SE,Diet_FTestStat,Diet_FTestNumDF,Diet_FTestDenDF,Diet_FTestScaling,Diet_FTestPValue,Diet_PairwiseDifferences
BPM,10 months,503.5365983518131,6.090837799789685,509.23913143594024,6.046947828212011,527.7577814780017,6.046277536949502,496.14061299097955,5.9473329563057415,487.46118301618367,5.835974245824602,9.797053022673213,4,687.2000814944208,0.999403909439046,1.0352216329793598e-7,AL-2D:1D-2D:1D-40:2D-20:2D-40
BPM,22 months,499.8977993463463,4.983739034103363,498.9620415490818,4.533018957253388,501.8165031452205,4.370452217498499,497.78653420006594,4.353529381134977,495.5108812264717,4.555283896333642,0.2640448519641538,4,471.7432537619,0.9995262572547075,0.9009970235026302,NA
CardiacOutput,10 months,18153.96636901213,528.6643328911146,19134.43374856779,522.4665232718646,20313.159754677054,518.588341192372,17546.551961485126,513.011517274051,19458.883413302465,512.2676664009875,4.882797305542189,4,521.7811427509514,0.998831571055276,7.143186336769552e-4,AL-2D:2D-20:20-40
CardiacOutput,22 months,18990.031516892093,592.1433562164118,20292.52746247819,542.750758801979,19403.065101447555,531.6597297071053,19055.515550018485,527.1610976813447,19479.31561492194,539.7583877896989,1.1948106192868877,4,624.0732387584225,0.999844551756052,0.3118691111569531,NA
StrokeVolume,10 months,35.95143708800935,0.9377138480118605,37.51646787023098,0.9257142200918438,38.50299383314251,0.9180647486765148,35.26697095629952,0.9085759631781699,39.73365092275419,0.9141483368082738,4.611646021594707,4,476.03728315132383,0.9986162337633201,0.0011608041735611887,AL-40:20-40
StrokeVolume,22 months,38.18263132892941,1.1281379584592555,40.569759975362665,1.0342156656646888,38.74980491358474,1.0149618172344763,38.46560316150553,1.0061813061414722,39.238149044944464,1.0290959372208501,1.1167994967978272,4,630.1517293150891,0.9998546837484051,0.3474975984341663,NA
EF,10 months,55.95551601791481,1.328085973281661,55.56142518600158,1.3123920067099688,58.03182950613522,1.3037733490098515,51.73995175988408,1.2886567131352198,60.79959042531044,1.289836539378706,9.220644779054233,4,506.0484921378313,0.9987547453092219,3.382663440402438e-7,AL-20:AL-40:1D-40:2D-20:20-40
EF,22 months,59.34323555871034,1.4350668972933067,58.46302337242364,1.3164939340782753,55.906953981951084,1.2926123601179762,57.14256977053194,1.2812904968463334,57.35829624693638,1.309737821285256,1.1873782431455495,4,634.0296568698841,0.999862229066982,0.3151115214107687,NA
FS,10 months,29.492154855664168,0.8929096400312746,29.233955728186032,0.8821673928404161,30.95560068052111,0.8760484400868488,26.743247880384803,0.8661344363091685,32.5526369095327,0.8678875939345265,8.434565095904718,4,499.3038641016077,0.9987247005445548,1.3679772585428142e-6,AL-40:1D-40:2D-20:20-40
FS,22 months,31.528637535550594,0.9891950137137465,31.18708894657128,0.9070665032264309,29.319543124690153,0.8903394881045841,30.408362403501393,0.8826008936236781,30.371567141999854,0.9025141862813406,1.065306591555273,4,631.6005858855215,0.9998574952230536,0.37276747780420805,NA
LVMass,10 months,125.02413876677292,3.212069043487824,127.03103616003581,3.1822441926654657,127.39560873917341,3.174955066177991,124.41924118094657,3.127615165906822,125.39256294294044,3.093847393169172,0.15796455690368597,4,594.4678131284272,0.999101283137414,0.959374942017803,NA
LVMass,22 months,126.69029576757403,3.4436517714850825,132.5633447232615,3.172643463909696,131.4567689935767,3.1231342932518613,120.31573302375776,3.0944101897290475,120.41497002517124,3.1539140381752335,4.484003674388737,4,652.1518200559582,0.9998989108376263,0.0013991428025849997,1D-20:1D-40:2D-20:2D-40
LVMassCorrected,10 months,100.01931101942212,2.569655230553521,101.62482896282457,2.5457953498752435,101.916486994938,2.539964048598564,99.53539291488995,2.5020921285218956,100.31405033115279,2.4750779106122516,0.15796456311232207,4,594.4678122486162,0.9991012831343364,0.9593749391533803,NA
LVMassCorrected,22 months,101.35221194540385,2.7549180972666094,106.05072188409298,2.538111634685931,105.16551493715092,2.4985043064263786,96.25247281716497,2.475525057256363,96.33203354388735,2.5231281222646116,4.484118064867429,4,652.1517197940763,0.9998989106242626,0.0013988624884533648,1D-20:1D-40:2D-20:2D-40
LVVol_dia,10 months,66.66140395111762,1.4125859619429029,69.21450754730262,1.3865679709724978,68.1408285507034,1.3618627437662019,69.49785679048767,1.3555779266735108,65.91141292150563,1.4123469203970824,1.5115958304661794,4,342.82063765831754,0.9977926951737295,0.19831980146821265,NA
LVVol_dia,22 months,65.47629025582135,1.7120061801954893,71.05020712324803,1.5558653723478713,70.43058558930058,1.5090570908929257,68.35639839368072,1.5014892300484197,69.51945595141328,1.5595964173495755,1.9733112142251337,4,512.7434884382851,0.9996201695848689,0.09729401247242622,NA
LVVol_sys,10 months,30.732667675820636,1.3229239402770057,31.52837364563791,1.3041711246319478,29.410291779737957,1.290280789109893,34.560370693803414,1.2791128659156517,26.244722445697825,1.2970405920980645,7.091597770095117,4,437.651968994633,0.9984186751044554,1.5404527548624695e-5,1D-40:2D-20:20-40
LVVol_sys,22 months,27.323281535613134,1.4683223963414425,30.59925950873612,1.3386278985217934,32.09866725544616,1.30676770108353,30.033836827276463,1.2974449574718747,30.269731541322262,1.3355540830386057,1.7382245164534904,4,580.6593805045997,0.9997599566042594,0.1399875871285543,NA
LVID_dia,10 months,3.889222747940285,0.034827785824453186,3.9560289362282206,0.0341991624855696,3.92890489549482,0.033610645032757056,3.9645078199835044,0.03344664613755367,3.877949723554266,0.034758752455640175,1.5559096857267978,4,349.94645972696725,0.997848654485359,0.1856450537370019,NA
LVID_dia,22 months,3.862347521542065,0.04092547618921604,3.9983570839934446,0.03720172738936506,3.980618459031507,0.03611345718841033,3.9335957798660144,0.0359226641050348,3.9681814177232426,0.0372647419087114,2.0486025671527335,4,521.6325419330286,0.9996396426089359,0.08636490204654998,NA
LVID_sys,10 months,2.766149432804715,0.050258846139835535,2.8109895732432384,0.04954350408232255,2.724754703670517,0.04901088121640141,2.92162662479897,0.048589981405561304,2.622452404778958,0.04928771561771564,6.549523440718701,4,436.1335968919999,0.998410323234105,3.991825518722623e-5,1D-40:2D-20:20-40
LVID_sys,22 months,2.65729526562677,0.055697094738451164,2.7722770874298326,0.05077693144144137,2.83169786942049,0.049567726413073124,2.7492456720781306,0.04921432224104924,2.7691249792652908,0.05066076152796285,1.5825007268671247,4,580.5182110041816,0.9997596830253382,0.17739364895301465,NA
LVPW_dia,10 months,0.8629656545998113,0.014382549536042141,0.8472805097370442,0.014211356136464048,0.8605690181895135,0.014115920492080578,0.8225939570457005,0.013953831908544692,0.8418229410981797,0.013972797270850263,1.9231389313758775,4,503.3237348076892,0.9987426794869027,0.10529494478057351,NA
LVPW_dia,22 months,0.8814209302383439,0.015198963806041459,0.8618458855181477,0.01388432641126389,0.863192718852624,0.013584994908778233,0.833690526428731,0.013478326306082753,0.8138633113789604,0.013834465833310721,3.7511997505957617,4,603.462136916087,0.9998036752372393,0.005032001765242022,AL-40:2D-40
LVPW_sys,10 months,1.124427270337022,0.01991986426471801,1.115404016422965,0.019615138857166075,1.1605556557732688,0.01936838689594987,1.05891730551305,0.01922510523719694,1.1370243500056838,0.019626165864332308,4.571859491083,4,409.45391706024174,0.9982559559395324,0.001271121615961534,AL-20:2D-20:20-40
LVPW_sys,22 months,1.1847991810867566,0.024894593572160326,1.1748246784159402,0.02295744905053078,1.1550841348150063,0.022610428146527556,1.1060032222793752,0.02240125094751713,1.0903526934164136,0.022819408790720114,4.033617667009279,4,655.1230080200779,0.9999053140347697,0.003068869094933015,AL-20:AL-40:1D-40
IVS_dia,10 months,0.8512526006561156,0.020256381425036548,0.8617059925745608,0.02014924015245088,0.864857204454303,0.02021673498454462,0.8384168600278197,0.019833094339152313,0.8804110771215946,0.019396987355530967,1.211090738717106,4,754.3498450083097,0.9995819584015452,0.30462143281709336,NA
IVS_dia,22 months,0.8599218117683618,0.01869785094280105,0.8719068047896168,0.017374428519533115,0.8590600668457228,0.0171673870803515,0.8121877427444874,0.017007797208184443,0.8113630640514581,0.017263504071468455,4.053839239424899,4,669.9424380670716,0.9999418120439748,0.00295795255483836,1D-20:1D-40
IVS_sys,10 months,1.0557914510837672,0.026813033984287946,1.0547200876644647,0.0266548081581703,1.0949975837118586,0.026725239047605688,1.0266780471150103,0.026229072336138394,1.1428047689021867,0.025677694225205952,5.857734139438544,4,729.95723707899,0.9995161677591469,1.2125388648788694e-4,AL-40:1D-40:20-40
IVS_sys,22 months,1.1004152384066301,0.029858909623761334,1.1153171661377133,0.028133036614310915,1.0910709266183016,0.027910321060926748,1.0594217000952302,0.027677489286728738,1.034930259723188,0.027967544010242703,2.3521837487679806,4,676.6535736556368,0.9999745725320771,0.052754657950650534,NA
