Phenotype,AL_Slope,AL_SE,1D_Slope,1D_SE,2D_Slope,2D_SE,20_Slope,20_SE,40_Slope,40_SE,DietAge_FTestStat,DietAge_FTestNumDF,DietAge_FTestDenDF,DietAge_FTestScaling,DietAge_FTestPValue,DietAge_PairwiseDifferences
BPM,-0.2094246268611114,0.5911623111905168,-0.6520386244444272,0.5742059019297172,-1.9761633136660801,0.5716455946382689,-0.24095580702609523,0.5715273909352764,0.7229598986274401,0.5372983432175891,4.736627557300001,4,777.5712963051323,0.9997417747919677,8.826270378313069e-4,2D-40
CardiacOutput,75.03478676948593,60.071023858403855,100.04358268388434,58.406382490787216,-74.60082892385465,58.138875910199395,89.96601265938659,58.00260310622729,12.29164955022961,54.583635687328936,2.3830239300046645,4,745.3826664115094,0.9996895881296672,0.05006988929172601,NA
StrokeVolume,0.17823320267950382,0.10837856345504396,0.2484068312691586,0.10526134494941108,0.009586538187910243,0.1050200229692962,0.21142898617723843,0.10458653225570654,-0.017546657277388678,0.09846253331838736,2.0895734941550206,4,715.7712226038885,0.9996455161492475,0.08048762562278661,NA
EF,0.16801619767155085,0.14721092379606238,0.16261763315656388,0.14337615150413044,-0.21163202125660352,0.14290425935787388,0.3821381859521204,0.1422806004713149,-0.18475038585670767,0.13433540992307236,4.529196890868931,4,751.4948431237863,0.9996742331150151,0.0012760965816290474,2D-20:20-40
FS,0.1006591693839964,0.09975866618523448,0.11553754139539107,0.09713951589987874,-0.15636625149924135,0.09682803381182857,0.26225337764031303,0.09639473964433232,-0.11904613547377221,0.09100260362260759,4.641156594430804,4,743.9249026360648,0.9996659929210694,0.0010487208076267723,2D-20:20-40
LVMass,0.46591536469226846,0.35774042823273305,0.6663945363364407,0.34768565842854304,0.4159047948624026,0.3466091715972756,-0.3684715844498837,0.34619810019126934,-0.7447947631214369,0.3259186876771892,4.959877745915007,4,799.8656496463904,0.9997495977695687,5.929570729485187e-4,AL-40:1D-40:2D-40
LVMassCorrected,0.3727303618388902,0.2861919400946373,0.533121792878032,0.278148118231243,0.3327347734588748,0.2772869373602754,-0.29478778512530396,0.2769580834689655,-0.5958318086020633,0.260734559627668,4.959934623380899,4,799.8648953143427,0.9997495973974181,5.92897324888786e-4,AL-40:1D-40:2D-40
LVVol_dia,0.06094115719736963,0.14898816902298567,0.29215660963288886,0.1443749413068734,0.26597950908419066,0.14371666450617096,-0.05388570179078012,0.1428739799041913,0.19253866348406093,0.13576027746772537,1.0149060120966455,4,474.1870238847703,0.9992273949202954,0.3991671658717044,NA
LVVol_sys,-0.13033340503879093,0.14199602342714845,0.035451181130281506,0.13798352528371596,0.2730779955277091,0.1375673378390716,-0.3102146420514103,0.1367663994446541,0.20354601465916686,0.12933218718670364,3.5188242475543565,4,622.6044326400527,0.999508547235986,0.007486251574614872,2D-20:20-40
LVID_dia,0.0015286241562219942,0.0036270120693911623,0.00684635867186932,0.0035135684128995005,0.006087670374868324,0.0034990676243497575,-0.0015754974456608905,0.0034786159604968197,0.0050278871640423335,0.0033010853150312112,1.0294934363538568,4,484.1028369528906,0.9992529151021905,0.3914534563916571,NA
LVID_sys,-0.0037943215038236445,0.005356664047800955,6.55517576942516e-4,0.005203238897403724,0.010576192096359223,0.0051881016433068874,-0.01193123703856826,0.005158048280661837,0.007726357855063754,0.0048759014507961645,3.5891844056100415,4,617.2383825300147,0.9995017527831095,0.006638836339182789,2D-20:20-40
LVPW_dia,0.0024333315602121197,0.0016368484013492284,0.0017486834358800762,0.0015974427643177134,3.610420517669182e-4,0.0015911988866715323,8.345188063286524e-4,0.0015829839379944235,-0.0030910798602668843,0.0014987075026036236,2.7108818465530375,4,751.6723698586209,0.9996646780449615,0.029146656652602333,AL-40
LVPW_sys,0.005346319895385781,0.0024688368135918105,0.004920972295782505,0.002405958226158183,-2.8836649873824257e-4,0.00239755031631951,0.003362014717402499,0.0023869378276666037,-0.0044232573402979,0.002255053942589215,4.525251588246721,4,758.7507388974904,0.9996798952734248,0.001283946451852395,AL-40:1D-40:20-40
IVS_dia,9.170092424116851e-4,0.0021393682594192795,9.221897382383241e-4,0.0020868470546895686,-8.081267468070179e-4,0.002071833926391964,-0.002720242295771319,0.0020823759475089108,-0.006918963339667275,0.001973911952102413,5.176605512561985,4,927.9760616003184,0.9998683773636783,3.976267357627138e-4,AL-40:1D-40:2D-40
IVS_sys,0.0023145272097077948,0.0030759277983112227,0.003586600220810251,0.003002230406427114,-0.0018357162597115952,0.0029773408184459752,0.0012430271962741856,0.0029977926641894417,-0.009641054877640899,0.0028469824098886205,7.230554116935861,4,949.1264161501864,0.9998870201043856,9.782921912064205e-6,AL-40:1D-40:20-40
