Phenotype,Timepoint,AL_Mean,AL_SE,1D_Mean,1D_SE,2D_Mean,2D_SE,20_Mean,20_SE,40_Mean,40_SE,Diet_FTestStat,Diet_FTestNumDF,Diet_FTestDenDF,Diet_FTestScaling,Diet_FTestPValue,Diet_PairwiseDifferences
BPM,10 months,509.0823140038246,6.035341638179083,512.9483199518951,6.058778545322697,528.4670785711131,6.111204808583639,497.59021947580334,6.004678237977722,479.91585649295826,5.660479155618753,16.247356216981608,4,684.2939562424218,0.9994090801496134,1.0116952367429828e-12,AL-40:1D-2D:1D-40:2D-20:2D-40:20-40
BPM,22 months,507.70797519692906,4.746070433166863,503.69818119680633,4.5368454737726225,502.9474687983208,4.509743279674143,499.28934544340467,4.483970825869369,487.0702041277534,4.202768436505106,3.4760900103184746,4,473.69003827157076,0.9995955082012404,0.008197719324525862,AL-40
CardiacOutput,10 months,19270.353391729586,541.1812935138296,19819.950527307978,544.3309980979209,20415.11420959101,546.3097724420383,17847.161017082377,539.2052250520439,17983.739048407235,510.47588329975275,5.204540312595659,4,528.1944009058585,0.9988839375869542,4.0566453529114255e-4,1D-20:1D-40:2D-20:2D-40
CardiacOutput,22 months,20168.203859184734,582.9436834148335,21007.02703190262,555.6912527767208,19597.25180947586,556.9434606513836,19298.94531137364,551.1582912883441,18239.344263978157,522.2527803873986,4.737797986459008,4,628.7781530109323,0.9998714932120059,8.997630868891276e-4,AL-40:1D-40
StrokeVolume,10 months,37.68903844268501,0.9492551492200623,38.54531713029624,0.9554700309079462,38.630043771348866,0.9587576709696677,35.78430589701653,0.9459559221113095,37.45818892329688,0.899024928381397,1.5807949708266,4,486.182997804202,0.9986928692320954,0.1781531979299581,NA
StrokeVolume,22 months,39.84249345981224,1.0911081332570858,41.59235074946194,1.037797302484992,39.0292044152965,1.042480699027924,38.81462021370857,1.0316395925201214,37.49650094795597,0.9775463513527584,2.872906982262603,4,629.5867497208831,0.9998714071759217,0.022360280943920736,1D-40
EF,10 months,56.429714950393524,1.2983326221862088,55.84382599550236,1.3062921554840428,58.07139175498467,1.3120844842961341,51.872056635688274,1.2935768122894413,60.181279483399535,1.2269472427162436,8.745935987027321,4,508.095246031023,0.9987905118717803,7.819174110689629e-7,AL-20:1D-40:2D-20:20-40
EF,22 months,58.687135614679576,1.343806494800235,58.046236486343986,1.277578996605286,55.8037963142724,1.2829101736038502,57.013768899187426,1.2698125286359103,58.05927053249846,1.2017185461974593,1.0135742200472435,4,620.8193402460828,0.9998569843787453,0.39960002688111435,NA
FS,10 months,29.828560930129076,0.8725830962783884,29.43427452627249,0.8780433895262274,30.983763734574502,0.8816688495469832,26.836990991899544,0.8694396007233851,32.11365584699215,0.8251462221930094,7.853003534058033,4,501.1796193795526,0.9987603973742336,3.822011851996989e-6,AL-20:2D-20:20-40
FS,22 months,31.19485998152941,0.926970731115462,30.97595863276125,0.8812232386921929,29.267288191479835,0.8848418367663468,30.34256515921907,0.8758428083231636,30.72718049399324,0.8286891865157754,0.9368290528908338,4,619.122480587616,0.999854209138319,0.4420398951129382,NA
LVMass,10 months,129.94588987149908,3.2105239469082503,130.1973380343954,3.226285862656888,127.93718023559443,3.2502570687731196,125.83072550661582,3.1963905971446094,118.74378549507364,3.017572858024797,3.9616568241463246,4,587.1260946161017,0.9990961782798669,0.003506213468356608,AL-40:1D-40
LVMass,22 months,135.9791488759324,3.3967592701853375,138.05054210975476,3.2342805026121586,132.83018147790372,3.2505985129580837,122.29472242836584,3.2159887131040064,110.76035211857734,3.0549315496837908,18.647363827559264,4,643.7468411558309,0.9998952685928636,1.627704797897103e-14,AL-20:AL-40:1D-20:1D-40:2D-40:20-40
LVMassCorrected,10 months,103.95671188798828,2.568419182057057,104.15787044887921,2.5810287143494453,102.34974416604517,2.6002056804806566,100.66458038122109,2.5571125018285272,94.99502839792628,2.414058308058523,3.961656830752788,4,587.1261071814903,0.9990961783236378,0.0035062134222892984,AL-40:1D-40
LVMassCorrected,22 months,108.78330266671148,2.7174034003029837,110.44048313097451,2.5874204967589716,106.26424557483435,2.60047485446559,97.83566719957146,2.5727870685123415,88.60833137518793,2.4439413731947934,18.647440157353486,4,643.7465158896468,0.9998952680317778,1.627489378016963e-14,AL-20:AL-40:1D-20:1D-40:2D-40:20-40
LVVol_dia,10 months,69.00285923298512,1.3571720938789782,70.47316160960746,1.3734056440428697,68.24564748072224,1.3638219160447727,70.13245504330192,1.3529102267517357,62.94659591129861,1.3247879716697015,6.152878027059757,4,323.6436501517298,0.9976669405504996,8.786562523292019e-5,AL-40:1D-40:2D-40:20-40
LVVol_dia,22 months,69.33545578150424,1.6151662840654435,73.34600808988006,1.5380969953635757,71.1220833781204,1.5347983418751414,69.1762937640561,1.5254679197958816,65.46531720311624,1.4301972217639467,4.022647732460329,4,484.57426996107336,0.9996166668004415,0.0032103886462361963,1D-40:2D-40
LVVol_sys,10 months,31.286816124369505,1.2689629823429684,31.845455998504065,1.2791752040272062,29.452721512689266,1.2792620025723203,34.7051753077305,1.2651053081218546,25.533181775447858,1.2120031576858445,10.21268318117896,4,422.45847993932597,0.9983657013541924,6.687607243658895e-8,AL-40:1D-40:2D-20:20-40
LVVol_sys,22 months,29.474822735472607,1.3581947791808804,31.959531266929442,1.2906753763067282,32.43476288244383,1.2917473132856503,30.453464362681938,1.281436282983147,27.970621307275074,1.20437519448688,2.404913504183936,4,542.1229985046854,0.9997255353301997,0.04867255832152805,2D-40
