Phenotype,Age_Slope,Age_SE,Age_FTestStat,Age_FTestNumDF,Age_FTestDenDF,Age_FTestScaling,Age_FTestPValue
Lymph_PercViable,-0.032457318687234636,0.0024323901088919575,177.6817695859157,1,39.96705843819145,0.9999999999999998,2.698801268169003e-16
Myeloid_PercViable,0.03262066829310266,0.002181554616078376,223.12183108863866,1,39.52808093801034,1,7.567690552245223e-18
CLLlike_PercViable,0.025213602235167106,0.002980491089476077,71.44794649347355,1,39.85037752569183,1,2.0039165955800126e-10
Other_PercViable,0.0029347858305838735,0.004533962642120871,0.4182580354713886,1,41.92868301300027,0.9999999999999998,0.5213323562856049
B_PercViable,-0.006601793160212387,0.002950381176735501,4.9962538838540445,1,40.40946756022144,1,0.03099322537273682
T_PercViable,-0.037132129022159184,0.0026124290213257145,201.60815338587093,1,40.13823439011021,1,3.054361408536105e-17
CD4T_PercViable,-0.05045128465506027,0.0019630349319326073,659.1760563981713,1,38.54229880104989,1,7.58098122795574e-26
CD8T_PercViable,-0.021894210176712694,0.002208266511008992,98.12326198558047,1,38.235000298280035,1,4.150861707780208e-12
NKG2DposT_PercViable,0.017868546069273458,0.0033573752169152966,28.291439369845406,1,40.2672976114126,1,4.190558179717741e-6
NK_PercViable,-0.05590199273340052,0.0028620866217629972,380.86448339355854,1,39.832994216713466,1.0000000000000002,5.377228653515978e-22
Neut_PercViable,0.036078976580752986,0.0023458088751192314,236.05042950296905,1,39.4548562215699,1,3.0369347354072974e-18
Mono_PercViable,0.013562510715251205,0.002236158844576578,36.712040353619166,1,39.7558596815921,1,3.9931834463655514e-7
Eos_PercViable,-0.0027025687259261645,0.0032276992310245846,0.6999874773461177,1,40.159235625966026,1,0.4077389829403639
B_PercLymph,0.023302004123377167,0.003099229751301962,56.41214866011262,1,40.35412387502841,0.9999999999999998,3.486928965561275e-9
CD4T_PercLymph,-0.03651777867942428,0.002172719095746313,281.91908492938074,1,38.91483988346291,0.9999999999999998,2.0160860970204733e-19
CD8T_PercLymph,-0.0059986806990170085,0.001997525674364614,8.999789759879834,1,37.71480834873723,1,0.004764469995921034
NKG2DposT_PercLymph,0.03248740373188771,0.0032640334623744403,98.96316787074075,1,39.959191573509585,1,2.269388256116778e-12
NK_PercLymph,-0.042084449696431755,0.0032444284610722088,167.9515022185269,1,40.13648204167758,1,6.289844168490729e-16
Neut_PercMyeloid,0.019332503742262096,0.002337994634038913,68.23545263408569,1,39.922876739248224,1,3.57018173377338e-10
Mono_PercMyeloid,-0.012089493143614162,0.0023262566726124576,26.957747757161638,1,39.48508472539885,1.0000000000000002,6.614901021550688e-6
Eos_PercMyeloid,-0.026947113515068365,0.0028366150547435216,90.08874963254965,1,39.162803830848034,1,1.0530904694394921e-11
B_CD11BposPercB,0.04806882740332963,0.0036363763534879925,174.44142081906605,1,40.456309014717206,1,2.9399011016305893e-16
B_CD62LposPercB,-0.012384413375147861,0.007353421665910253,2.8295480430017745,1,43.2596442753296,0.9999999999999998,0.09975037073152494
B_NKG2DposPercB,-0.0726306802996,0.010327510128896104,49.3948225906189,1,43.32012899616238,1,1.1271696308367518e-8
CD4T_CD25posPercCD4T,0.019417482634645766,0.001972683253554128,96.75725703904783,1,39.412719425845395,1,3.6357967926972336e-12
CD4T_CD62LnegCD44negPercCD4T,-0.037819891280206616,0.005495026534569236,47.303671286548344,1,42.05908427038473,1,2.1591378322977308e-8
CD4T_CD62LnegCD44posPercCD4T,0.0820311829637319,0.002918533561846384,788.7879932253054,1,39.610465548151595,1,9.099150660122339e-28
CD4T_CD62LposCD44negPercCD4T,-0.0672568838870533,0.005852047997048245,131.86780825141946,1,41.486304626909885,1,1.8389560634924902e-14
CD4T_CD62LposCD44posPercCD4T,0.04768719505130219,0.003070054982321078,240.87813927444935,1,41.10221322586638,1,8.647301058250546e-19
CD4T_NKG2DposPercCD4T,0.008147140747721417,0.00577646536386494,1.9876406995713387,1,42.37505325258082,1,0.16588557839614043
CD8T_CD62LnegCD44negPercCD8T,-0.04934629374850712,0.006387781925365663,59.5866276453906,1,42.09491249457082,1,1.3650324815850984e-9
CD8T_CD62LnegCD44posPercCD8T,0.05200480450120274,0.0055927943010336215,86.33001950702096,1,41.432761926487515,1,1.0952842671983702e-11
CD8T_CD62LposCD44negPercCD8T,-0.07799566039902793,0.006024971454056042,167.28414282018218,1,41.639683111144215,1,3.560467791262525e-16
CD8T_CD62LposCD44posPercCD8T,0.07042514384684355,0.004764370233647873,218.09186611182488,1,41.31338038043936,1.0000000000000002,4.419068534779265e-18
CD8T_NKG2DposPercCD8T,0.07078352267327906,0.0034038282621718556,432.0064318621459,1,38.91059033651062,1,1.1329446517443674e-22
DNT_B220posPercDNT,0.006707122518416506,0.006275485226997301,1.1396010732569843,1,42.79432653663018,1,0.2917219690012782
DNT_CD25posPercDNT,0.021280710023649854,0.005145534507688492,17.08085303961631,1,40.98336420106861,1,1.7243807847987155e-4
DNT_CD62LnegCD44negPercDNT,-0.03708146442507792,0.004982053234631217,55.31758030981458,1,42.09441362423211,1,3.416368537243816e-9
DNT_CD62LnegCD44posPercDNT,0.027523618406395847,0.0038258536843073883,51.664400551062464,1,41.546652286672185,0.9999999999999998,8.32702234826914e-9
DNT_CD62LposCD44negPercDNT,-0.030722650203575234,0.005757238280960338,28.41850185408757,1,42.11321290930393,1,3.589268903997293e-6
DNT_CD62LposCD44posPercDNT,0.007077921219597133,0.004555414099152681,2.409472673683931,1,42.1629740122549,1,0.12807774989615256
DNT_NKG2DposPercDNT,0.01991924443186155,0.0041339534111169965,23.17428581552906,1,41.26098225296472,1,2.0112829331735816e-5
NKG2DposT_CD4posPercNKG2DposT,-0.06652781356198278,0.0062771861088156255,112.17322634995497,1,42.19315297516715,1,1.8557744362575162e-13
NKG2DposT_CD8posPercNKG2DposT,0.06603986638021085,0.004595686421567635,206.11349487843174,1,40.99594653890384,1,1.3767780871099228e-17
NKG2DposT_DNPercNKG2DposT,-0.03570499394584874,0.004388651330406227,66.07310468073511,1,40.87913006160263,0.9999999999999998,4.515288695884059e-10
NK_B220posPercNK,0.006707122518416506,0.006275485226997301,1.1396010732569843,1,42.79432653663018,1,0.2917219690012782
NK_CD62LposPercNK,0.0022469217727210545,0.004788176739933117,0.21976964421796646,1,41.99606492881703,1,0.6416399814548709
NK_CD11BnegCD11CnegPercNK,0.02977182200224978,0.0057716014887942944,26.549924600902735,1,42.49266310002829,1,6.3022483518503365e-6
NK_CD11BnegCD11CposPercNK,0.0683725206341144,0.0063136163531379574,117.10913149856167,1,42.25940939893811,1,9.311202271912086e-14
NK_CD11BposCD11CnegPercNK,-0.0443302035999198,0.005512525525868782,64.53821799405591,1,42.36094756283301,1,4.726343019602263e-10
NK_CD11BposCD11CposPercNK,-0.004043739657371427,0.0057545461098878845,0.4929371040623839,1,42.288895807365286,1,0.4864666050314387
NK_CD11BnegCD11CnegPercCD62LposNK,0.009698635289421938,0.006040106560462469,2.574651459345889,1,41.67136918311261,1,0.11614118365505814
NK_CD11BnegCD11CposPercCD62LposNK,-0.04147126923405282,0.006771920821349997,37.46082884590714,1,41.432454566467186,1,2.8028942325273775e-7
NK_CD11BposCD11CnegPercCD62LposNK,0.007693614621712328,0.005160015127196875,2.218862948653116,1,41.747444635366456,1,0.14385012051898075
NK_CD11BposCD11CposPercCD62LposNK,5.147995797682643e-6,0.0049515493720187955,1.0791980636745822e-6,1,41.64945933198214,1,0.9991760820452846
Neut_CD62LposPercNeut,-0.0015648692827391006,0.012925492518928687,0.014621133568669844,1,43.35504042587778,1,0.9043147534677181
Mono_ResidPercMono,0.0023685613737565426,0.0023978916873751643,0.9737380879895406,1,39.66724213937796,1,0.3297307757434662
Mono_InflPercMono,0.006723483777608981,0.002945909378347324,5.197790335466234,1,41.165016286459455,1,0.02786530356808134
Mono_CD11CposCD62LposPercMono,-0.0020883745159590347,0.004163901093511608,0.25096349042400723,1,42.7930105424374,1,0.618964654622839
Mono_OtherPercMono,-0.019729972961134545,0.00415712666198055,22.470939007747624,1,42.6130577537817,1,2.3973005453656758e-5
