Phenotype,AL_Slope,AL_SE,1D_Slope,1D_SE,2D_Slope,2D_SE,20_Slope,20_SE,40_Slope,40_SE,DietAge_FTestStat,DietAge_FTestNumDF,DietAge_FTestDenDF,DietAge_FTestScaling,DietAge_FTestPValue,DietAge_PairwiseDifferences
Lymph_PercViable,-0.04046003356647637,0.0040090389575695926,-0.029421626368705423,0.003797253186378431,-0.03464696971507806,0.003799248547076642,-0.02569083020136765,0.0036786377661771085,-0.033854701220356186,0.0035182849542893294,3.199442891085223,4,1345.8789945468225,0.9996880678486243,0.012581794454592248,AL-20
Myeloid_PercViable,0.03852562745607423,0.003701445682336025,0.029087992156316952,0.0034974997608497637,0.036386981508072305,0.0034992094497183503,0.027268192284320522,0.003382396868668859,0.033268505836211146,0.0032356221592440204,2.6176355372028426,4,1311.607782679928,0.9996538267818953,0.03367717933308742,
CLLlike_PercViable,0.024454659186308333,0.00469477798474386,0.029559152329928475,0.0044521190692306785,0.034306699513268535,0.004454257967702643,0.025359945957226026,0.004315262738060457,0.014247117123765331,0.004124017094327586,4.434656931920425,4,1341.13709659289,0.9996930757688913,0.0014538486629990868,1D-40:2D-40
Other_PercViable,0.007901029845061976,0.005875343266113967,0.0013143571569955278,0.005694315414460406,0.0022760055857011,0.005696672756582926,-0.007092511096401127,0.005597815395221081,0.010970976809313231,0.005401343652241133,4.496091629384402,4,1542.8688080475802,0.9998975049849693,0.0012955776904399838,AL-20:20-40
B_PercViable,-0.013278062434818744,0.004555919405548546,-0.00114937983867505,0.0043343968977952365,-0.0013116417071335157,0.004336837090103553,0.004739481252944725,0.004211640388601665,-0.02189493188961631,0.004025159454370197,11.329346902723335,4,1376.5597373513135,0.9997336667222702,4.769706014394238e-9,AL-20:1D-40:2D-40:20-40
T_PercViable,-0.04797026519599271,0.004051693670591918,-0.0419758035915514,0.00384467143337611,-0.04461414714521866,0.0038467599938915493,-0.03918614129340152,0.0037290238638138552,-0.01706185487136268,0.0035624819569732694,17.517785145928247,4,1342.3554705862034,0.999700345057111,5.0505452906033466e-14,AL-40:1D-40:2D-40:20-40
CD4T_PercViable,-0.06710335216444353,0.0033877422334833165,-0.06181218193097762,0.003187261821734225,-0.054315786166769006,0.003188366753318605,-0.048996626386537206,0.0030719006353951733,-0.0272365193989325,0.002939081247832221,33.11803978507951,4,1229.0814027895694,0.9995776717454246,2.9174299717920145e-26,AL-2D:AL-20:AL-40:1D-20:1D-40:2D-40:20-40
CD8T_PercViable,-0.03321878203188633,0.004040552638420119,-0.028267921133735236,0.003796238644847374,-0.02858963850733879,0.0037973835528826096,-0.022080550329442086,0.003655141182884977,-0.0024298554422139194,0.003505654944654497,14.009600357869694,4,1234.2815591357387,0.9995643780989546,3.496611947830353e-11,AL-40:1D-40:2D-40:20-40
NKG2DposT_PercViable,0.015972060972641297,0.004997522068541685,0.016245755525697528,0.004768794337230902,0.016500129950695705,0.004771004571520944,0.017270599919269852,0.004640622519617655,0.02226942784741106,0.004435312485625905,0.5996633169742847,4,1390.026509585779,0.9997555800734862,0.6629328197788076,NA
NK_PercViable,-0.05620299609150943,0.0041706167043904455,-0.060163169112561185,0.003984917284480148,-0.05867885501169836,0.003986990272281819,-0.0549369708371205,0.0038815655036414007,-0.05036197584800729,0.003701699472824812,1.725238425112294,4,1321.334512925292,0.999728750315497,0.14191560658815014,NA
Neut_PercViable,0.04262060286783926,0.004032932597311249,0.03390439978184777,0.0038078391873049245,0.03824424526847868,0.0038096514046024833,0.02931078587026445,0.003680595014906066,0.0378112994327649,0.0035224559407900646,2.444600125938289,4,1306.8153430103168,0.9996451798500241,0.04486650399416825,AL-20
Mono_PercViable,0.017946776467131813,0.0033972945380835846,0.0153436485648412,0.00322909503767105,0.020413476400791993,0.0032308444812153133,0.012785206667348557,0.0031350597104237115,0.003742420942906167,0.0029899737462941675,7.139096523898614,4,1310.8372057245563,0.9996949752412244,1.098927307827586e-5,AL-40:1D-40:2D-40
Eos_PercViable,-0.014572251534858674,0.004826468206966954,-0.01361572209238866,0.004611970294166551,-0.010121585712829579,0.004614383127381304,0.001715308914929067,0.00449309351814246,0.01762307263880629,0.004292607678429768,17.375383709425332,4,1378.407008099575,0.999760060756272,6.436144746212179e-14,AL-20:AL-40:1D-20:1D-40:2D-40:20-40
B_PercLymph,0.027814982414222776,0.004633244786010014,0.030680894859082094,0.004411314581295916,0.031673468357166286,0.004413812106206273,0.03216467076031822,0.004288335744520709,-0.0017968062334176994,0.004095462987105114,21.28218415774579,4,1360.379888469639,0.9997312177238735,4.822339605495967e-17,AL-40:1D-40:2D-40:20-40
CD4T_PercLymph,-0.04858735888148674,0.003638057302503442,-0.049034067532931644,0.003431910387228782,-0.03971862929671414,0.0034333698537186374,-0.039184275479477546,0.0033142706140119787,-0.011924673430679947,0.0031666697067286413,29.98850260344244,4,1256.5563235872157,0.99961409231344,7.378929104513332e-24,AL-40:1D-40:2D-40:20-40
CD8T_PercLymph,-0.01131516691707052,0.0037826681966803524,-0.014142920510803129,0.003544668276041425,-0.012980811933497557,0.0035453613865572458,-0.009904171798903455,0.0034060894734983475,0.014472834196363209,0.0032726865236639593,15.403144352881739,4,1195.9468242308878,0.9995195351127136,2.7266504925354428e-12,AL-40:1D-40:2D-40:20-40
NKG2DposT_PercLymph,0.03625425972297578,0.004944042990724306,0.030241327573086476,0.004713284794669089,0.03134938118336982,0.004715466847835121,0.028568812471132365,0.004583633139717141,0.03639980498941863,0.004378744414486848,1.0443919436258868,4,1372.9785187728571,0.9997419634444459,0.3829355498419968,NA
NK_PercLymph,-0.03677088916666114,0.004696261259287076,-0.04730895326432737,0.004490607016961547,-0.0444394308378787,0.004493060516330233,-0.04444082198362445,0.004377012372915159,-0.03701999533284175,0.004177850110625163,2.035959324116218,4,1347.1947189299883,0.9997482734602321,0.08709314631871448,NA
Neut_PercMyeloid,0.024479125829843844,0.0037340019438146287,0.019674146847010743,0.003543817365741001,0.017592812619387752,0.003545701598571431,0.014179296949817758,0.0034373954519462298,0.02177947871886261,0.0032836935296185307,1.9795329661713503,4,1342.1604311631295,0.9997009606415539,0.09528249316332009,NA
Mono_PercMyeloid,-0.010102129248784696,0.003625926483284847,-0.007464372061913012,0.0034394002107753035,-0.00688142304090241,0.0034410531731782308,-0.008708078797364644,0.0033339166002017404,-0.02516729481948637,0.0031802219889969807,8.813819941828253,4,1296.9251226903336,0.9996733832228916,5.078809770823316e-7,AL-40:1D-40:2D-40:20-40
Eos_PercMyeloid,-0.04186376705684366,0.00461066304856261,-0.03717957711717925,0.004372624688434549,-0.03765499123963124,0.004374794830868869,-0.018543685474791516,0.004238302135590531,-0.006186586505618249,0.004043125842244617,20.1570429175764,4,1296.9387184997613,0.9996726927186199,4.0275806278215234e-16,AL-20:AL-40:1D-20:1D-40:2D-20:2D-40
B_CD11BposPercB,0.05660597622203155,0.005165305626848595,0.05103246091097833,0.0049424232829352885,0.05553282795326729,0.004945038244520142,0.04087710650502437,0.004819349586344516,0.039948627844663916,0.0046046434091485825,5.064440472248272,4,1377.357572748968,0.9997672998458023,4.718481565155729e-4,AL-20:AL-40:2D-40
B_CD62LposPercB,-0.015467103735810275,0.007978178716763578,-0.006197405421417432,0.007886178918586909,-0.0067547019057442054,0.007887330293010069,-0.012638870738066455,0.007842167610298715,-0.020092265163680356,0.007722694326191937,3.9723232182997545,4,1580.9680559930812,0.9999759104437373,0.0032705056329408134,1D-40:2D-40
B_NKG2DposPercB,-0.07213150242489481,0.01057310838607344,-0.07216928446722169,0.010533920388686849,-0.07820541363965143,0.010532928807662005,-0.07550468263695924,0.010519764323714214,-0.06560766042066378,0.010476149144736529,5.470497537236416,4,1733.3853204056295,0.9999880148733951,2.2396453246442994e-4,2D-40:20-40
CD4T_CD25posPercCD4T,0.021341913538333604,0.0030122700232543247,0.027281646631127216,0.0028628100572061833,0.019419691316368955,0.002864150042626832,0.01720339572962353,0.0027782792121715943,0.013481833872104214,0.002649385815995519,5.378631896932556,4,1304.8340478325856,0.9996888486971905,2.6920878747409955e-4,1D-20:1D-40
CD4T_CD62LnegCD44negPercCD4T,-0.040525541217362994,0.006586701564138238,-0.0327791809455264,0.006425802366660658,-0.045285059011017446,0.0064279645613719155,-0.034760982840890076,0.006341087565104065,-0.03714110973658511,0.006146231035453913,2.1746365493748616,4,1524.9527842584987,0.999921250471034,0.06962879225273588,NA
CD4T_CD62LnegCD44posPercCD4T,0.0935487705430939,0.004279889629078669,0.0878553436511149,0.00408006955136019,0.0874457896514269,0.004082140982628775,0.07924877257265407,0.003968139628477752,0.0669455774306765,0.0037824232013297706,12.265842522948798,4,1306.3755049495087,0.999707742603753,8.568863792814954e-10,AL-20:AL-40:1D-40:2D-40:20-40
CD4T_CD62LposCD44negPercCD4T,-0.08011950619534908,0.007543917246227232,-0.07398948967008706,0.007300432552755649,-0.07014500637021123,0.0073037946689703094,-0.06231415587712748,0.007170062599277855,-0.05448900511085919,0.006898671498730026,5.260224418575129,4,1473.3577476253797,0.9998682265471623,3.3051679619547445e-4,AL-20:AL-40:1D-40
CD4T_CD62LposCD44posPercCD4T,0.04939414814697376,0.004247217208443924,0.0479771830572859,0.004078144516836558,0.05082935446819188,0.004080172355527745,0.045677702112444735,0.00398559566462525,0.045632286049315254,0.003818984675925273,0.6478502108820823,4,1450.4602091532215,0.999818747033724,0.6284408122710647,NA
CD4T_NKG2DposPercCD4T,0.018907205175709228,0.00657801568226546,0.006681636301102283,0.00646185513848561,0.0021100625226053217,0.006463124213872191,0.005354139281787263,0.006401737282973858,0.009434888898028314,0.006256408092076399,3.877264633292186,4,1583.3078513277426,0.999958504459295,0.0038647645174074586,AL-2D:AL-20
CD8T_CD62LnegCD44negPercCD8T,-0.044539670126054524,0.007795935999680092,-0.0422958502389544,0.007587256395630831,-0.045048337063614316,0.007589936711539046,-0.05446115277786952,0.00747654634692339,-0.05767787131825217,0.007235164205487126,2.5751333208742198,4,1540.8833873368496,0.9999150850216569,0.036073040969580875,
CD8T_CD62LnegCD44posPercCD8T,0.07073423470889113,0.00696425068214677,0.06223802833298272,0.006743064708546081,0.06172029446163678,0.0067461307981929826,0.04251654012938576,0.006624511512054599,0.030485251718588256,0.006372774608160731,17.186227595455826,4,1457.356629430563,0.9998644614682932,8.766836031004702e-14,AL-20:AL-40:1D-20:1D-40:2D-20:2D-40
CD8T_CD62LposCD44negPercCD8T,-0.10255206252750002,0.007903799902061326,-0.08768200635075468,0.007644582066080757,-0.07769306774162123,0.007648124985145031,-0.06909876219364132,0.007506009339012014,-0.060475978739373756,0.007225130412084798,11.994046616158043,4,1499.5938953575615,0.9998750735822058,1.3486310947886346e-9,AL-2D:AL-20:AL-40:1D-40
CD8T_CD62LposCD44posPercCD8T,0.07038476855035898,0.006389311871406133,0.07217135675173779,0.006149303148283488,0.06605880400241672,0.006152396794902874,0.07229328901812468,0.006019025169577695,0.07091549969622155,0.0057724181913009695,0.3683399187013611,4,1453.7151035868535,0.9998330451190958,0.8313027762134755,NA
CD8T_NKG2DposPercCD8T,0.08055434001236617,0.005441432306675038,0.07263947881687663,0.005159523902185389,0.08048604311107378,0.0051616742336184854,0.07209135506536468,0.004998580178237621,0.0526818221392586,0.004767536074993016,8.339017090161205,4,1287.1779466606083,0.999663870571424,1.2191037777288415e-6,AL-40:1D-40:2D-40:20-40
DNT_B220posPercDNT,-0.00861814995532286,0.0069333098594934715,-0.004019398669363792,0.006834691567204286,-0.0015606994880953632,0.006836396470100843,0.007989544830789992,0.006786565903372213,0.03324886764680964,0.006648520638376617,43.958479024881335,4,1498.2802548827462,0.9999590042938198,6.292048837304493e-35,AL-20:AL-40:1D-20:1D-40:2D-40:20-40
DNT_CD25posPercDNT,0.007815391691264918,0.0070117392870380005,0.01867388793466625,0.0067483689813960515,0.019420679186916985,0.006751613280781303,0.023797157426620065,0.006604603445842656,0.032477477990424095,0.006332252078215857,3.9773614088505287,4,1445.6666518450784,0.9998291673114501,0.0032509555790418317,AL-40
DNT_CD62LnegCD44negPercDNT,-0.02926497816806834,0.006098139877837186,-0.028722738288994718,0.005930916702622602,-0.026359849368789715,0.0059330120557214315,-0.03954895153820677,0.0058421416251241325,-0.05705104363240265,0.005653438645970814,15.327523007153069,4,1560.1943575577297,0.9999170304366132,2.665943654520208e-12,AL-40:1D-40:2D-40:20-40
DNT_CD62LnegCD44posPercDNT,0.022032504598611273,0.0050526264868353335,0.030038067092310168,0.004873640426804858,0.024039291623465107,0.0048758796681390324,0.026310239700246423,0.004776609386097838,0.03330105114977464,0.004588973423902185,2.1007373069753323,4,1483.8587260582362,0.9998553262904845,0.0784542435973237,NA
DNT_CD62LposCD44negPercDNT,-0.03376725939122921,0.007093491372122442,-0.03417431226666656,0.006896881407714846,-0.02985230420731062,0.006899724336903926,-0.026339731967090566,0.0067934471046673375,-0.030497528112106043,0.00656515916801551,0.6757600007218343,4,1513.895006545595,0.9999041757538359,0.6087924711185818,NA
DNT_CD62LposCD44posPercDNT,0.010927945209735118,0.005680964211562035,-0.001641954071629038,0.00552464162675143,0.0045350744027233495,0.0055268181287878295,0.00855899044926902,0.005442464220617339,0.012593438921344832,0.005264943993511351,2.743417803547003,4,1545.9204996881524,0.9999138873064884,0.027223952713899408,1D-40
DNT_NKG2DposPercDNT,0.023987294990727794,0.005476399624606965,0.018516452434184368,0.005286727045712093,0.020622344293862106,0.00528933798240288,0.014609786268233917,0.0051845229463397865,0.02255654630922966,0.004976428871780255,1.270294596480674,4,1437.1627539785452,0.9998417557132241,0.2796135973927289,NA
NKG2DposT_CD4posPercNKG2DposT,-0.07117425886622304,0.007571320466188686,-0.073010694099745,0.0073797450730776135,-0.07353586044131834,0.0073820878188637805,-0.07053691737554744,0.007278352368778913,-0.047990688961546776,0.007056521307451967,8.27230926595149,4,1565.8044324329906,0.9999271773545773,1.3341845873264094e-6,AL-40:1D-40:2D-40:20-40
NKG2DposT_CD8posPercNKG2DposT,0.06508906432161495,0.006462275135064327,0.06690796221439693,0.006196550468726051,0.07360361042850486,0.006199733729326277,0.07189520209115703,0.0060507620068516775,0.05447593247745651,0.0057925094306077495,3.3441279229149057,4,1430.262914472762,0.9998031684455703,0.009798039785037507,2D-40:20-40
NKG2DposT_DNPercNKG2DposT,-0.03549600504257365,0.00622059948117186,-0.03279909220128005,0.005960980521255384,-0.03916311399945518,0.005964087219509932,-0.03989578082476305,0.0058184440926112874,-0.03168365044125427,0.005568456303207438,0.8191292350939836,4,1424.32143639068,0.9997971843028903,0.5128949661375183,NA
NK_B220posPercNK,-0.00861814995532286,0.0069333098594934715,-0.004019398669363792,0.006834691567204286,-0.0015606994880953632,0.006836396470100843,0.007989544830789992,0.006786565903372213,0.03324886764680964,0.006648520638376617,43.958479024881335,4,1498.2802548827462,0.9999590042938198,6.292048837304493e-35,AL-20:AL-40:1D-20:1D-40:2D-40:20-40
NK_CD62LposPercNK,-0.005482359160734405,0.005756966633550865,-0.004108984002054837,0.005609773323566628,-0.002071748173378302,0.005612086629104586,0.011888990128917962,0.005533185347773248,0.007934711687577995,0.0053527923833464495,6.505454688988414,4,1485.3891122583798,0.999905553825779,3.450044938700392e-5,AL-20:AL-40:1D-20:1D-40:2D-20
NK_CD11BnegCD11CnegPercNK,0.016308938789801355,0.006674660063477954,0.019559304877797303,0.006546598143118398,0.021645880321519147,0.0065486962104372845,0.03640734632522239,0.0064820443832002105,0.04924388163205591,0.006315676093367242,22.634778051278452,4,1514.727955218118,0.9999421906356304,3.5114488258359345e-18,AL-20:AL-40:1D-20:1D-40:2D-20:2D-40:20-40
